cross_section,longitudinal,depth
0,-5,0
0,-5,3.2
0,-5,6.4
0,-5,9.6
0,-5,12.8
0,-5,16
0,-5,19.2
0,-5,22.4
0,-5,25.6
0,-5,28.8
5,-5,0
5,-5,3.2
5,-5,6.4
5,-5,9.6
5,-5,12.8
5,-5,16
5,-5,19.2
5,-5,22.4
5,-5,25.6
5,-5,28.8
10,-5,0
10,-5,3.2
10,-5,6.4
10,-5,9.6
10,-5,12.8
10,-5,16
10,-5,19.2
10,-5,22.4
10,-5,25.6
10,-5,28.8
15,-5,0
15,-5,3.2
15,-5,6.4
15,-5,9.6
15,-5,12.8
15,-5,16
15,-5,19.2
15,-5,22.4
15,-5,25.6
15,-5,28.8
20,-5,0
20,-5,3.2
20,-5,6.4
20,-5,9.6
20,-5,12.8
20,-5,16
20,-5,19.2
20,-5,22.4
20,-5,25.6
20,-5,28.8
25,-5,0
25,-5,3.2
25,-5,6.4
25,-5,9.6
25,-5,12.8
25,-5,16
25,-5,19.2
25,-5,22.4
25,-5,25.6
25,-5,28.8
30,-5,0
30,-5,3.2
30,-5,6.4
30,-5,9.6
30,-5,12.8
30,-5,16
30,-5,19.2
30,-5,22.4
30,-5,25.6
30,-5,28.8
35,-5,0
35,-5,3.2
35,-5,6.4
35,-5,9.6
35,-5,12.8
35,-5,16
35,-5,19.2
35,-5,22.4
35,-5,25.6
35,-5,28.8
40,-5,0
40,-5,3.2
40,-5,6.4
40,-5,9.6
40,-5,12.8
40,-5,16
40,-5,19.2
40,-5,22.4
40,-5,25.6
40,-5,28.8
45,-5,0
45,-5,3.2
45,-5,6.4
45,-5,9.6
45,-5,12.8
45,-5,16
45,-5,19.2
45,-5,22.4
45,-5,25.6
45,-5,28.8
50,-5,0
50,-5,3.2
50,-5,6.4
50,-5,9.6
50,-5,12.8
50,-5,16
50,-5,19.2
50,-5,22.4
50,-5,25.6
50,-5,28.8
55,-5,0
55,-5,3.2
55,-5,6.4
55,-5,9.6
55,-5,12.8
55,-5,16
55,-5,19.2
55,-5,22.4
55,-5,25.6
55,-5,28.8
58,-5,0
58,-5,3.2
58,-5,6.4
58,-5,9.6
58,-5,12.8
58,-5,16
58,-5,19.2
58,-5,22.4
58,-5,25.6
58,-5,28.8
0,0,0
0,0,3.2
0,0,6.4
0,0,9.6
0,0,12.8
0,0,16
0,0,19.2
0,0,22.4
0,0,25.6
0,0,28.8
5,0,0
5,0,3.2
5,0,6.4
5,0,9.6
5,0,12.8
5,0,16
5,0,19.2
5,0,22.4
5,0,25.6
5,0,28.8
10,0,0
10,0,3.2
10,0,6.4
10,0,9.6
10,0,12.8
10,0,16
10,0,19.2
10,0,22.4
10,0,25.6
10,0,28.8
15,0,0
15,0,3.2
15,0,6.4
15,0,9.6
15,0,12.8
15,0,16
15,0,19.2
15,0,22.4
15,0,25.6
15,0,28.8
20,0,0
20,0,3.2
20,0,6.4
20,0,9.6
20,0,12.8
20,0,16
20,0,19.2
20,0,22.4
20,0,25.6
20,0,28.8
25,0,0
25,0,3.2
25,0,6.4
25,0,9.6
25,0,12.8
25,0,16
25,0,19.2
25,0,22.4
25,0,25.6
25,0,28.8
30,0,0
30,0,3.2
30,0,6.4
30,0,9.6
30,0,12.8
30,0,16
30,0,19.2
30,0,22.4
30,0,25.6
30,0,28.8
35,0,0
35,0,3.2
35,0,6.4
35,0,9.6
35,0,12.8
35,0,16
35,0,19.2
35,0,22.4
35,0,25.6
35,0,28.8
40,0,0
40,0,3.2
40,0,6.4
40,0,9.6
40,0,12.8
40,0,16
40,0,19.2
40,0,22.4
40,0,25.6
40,0,28.8
45,0,0
45,0,3.2
45,0,6.4
45,0,9.6
45,0,12.8
45,0,16
45,0,19.2
45,0,22.4
45,0,25.6
45,0,28.8
50,0,0
50,0,3.2
50,0,6.4
50,0,9.6
50,0,12.8
50,0,16
50,0,19.2
50,0,22.4
50,0,25.6
50,0,28.8
55,0,0
55,0,3.2
55,0,6.4
55,0,9.6
55,0,12.8
55,0,16
55,0,19.2
55,0,22.4
55,0,25.6
55,0,28.8
58,0,0
58,0,3.2
58,0,6.4
58,0,9.6
58,0,12.8
58,0,16
58,0,19.2
58,0,22.4
58,0,25.6
58,0,28.8
0,5,0
0,5,3.2
0,5,6.4
0,5,9.6
0,5,12.8
0,5,16
0,5,19.2
0,5,22.4
0,5,25.6
0,5,28.8
5,5,0
5,5,3.2
5,5,6.4
5,5,9.6
5,5,12.8
5,5,16
5,5,19.2
5,5,22.4
5,5,25.6
5,5,28.8
10,5,0
10,5,3.2
10,5,6.4
10,5,9.6
10,5,12.8
10,5,16
10,5,19.2
10,5,22.4
10,5,25.6
10,5,28.8
15,5,0
15,5,3.2
15,5,6.4
15,5,9.6
15,5,12.8
15,5,16
15,5,19.2
15,5,22.4
15,5,25.6
15,5,28.8
20,5,0
20,5,3.2
20,5,6.4
20,5,9.6
20,5,12.8
20,5,16
20,5,19.2
20,5,22.4
20,5,25.6
20,5,28.8
25,5,0
25,5,3.2
25,5,6.4
25,5,9.6
25,5,12.8
25,5,16
25,5,19.2
25,5,22.4
25,5,25.6
25,5,28.8
30,5,0
30,5,3.2
30,5,6.4
30,5,9.6
30,5,12.8
30,5,16
30,5,19.2
30,5,22.4
30,5,25.6
30,5,28.8
35,5,0
35,5,3.2
35,5,6.4
35,5,9.6
35,5,12.8
35,5,16
35,5,19.2
35,5,22.4
35,5,25.6
35,5,28.8
40,5,0
40,5,3.2
40,5,6.4
40,5,9.6
40,5,12.8
40,5,16
40,5,19.2
40,5,22.4
40,5,25.6
40,5,28.8
45,5,0
45,5,3.2
45,5,6.4
45,5,9.6
45,5,12.8
45,5,16
45,5,19.2
45,5,22.4
45,5,25.6
45,5,28.8
50,5,0
50,5,3.2
50,5,6.4
50,5,9.6
50,5,12.8
50,5,16
50,5,19.2
50,5,22.4
50,5,25.6
50,5,28.8
55,5,0
55,5,3.2
55,5,6.4
55,5,9.6
55,5,12.8
55,5,16
55,5,19.2
55,5,22.4
55,5,25.6
55,5,28.8
58,5,0
58,5,3.2
58,5,6.4
58,5,9.6
58,5,12.8
58,5,16
58,5,19.2
58,5,22.4
58,5,25.6
58,5,28.8
0,10,0
0,10,3.2
0,10,6.4
0,10,9.6
0,10,12.8
0,10,16
0,10,19.2
0,10,22.4
0,10,25.6
0,10,28.8
5,10,0
5,10,3.2
5,10,6.4
5,10,9.6
5,10,12.8
5,10,16
5,10,19.2
5,10,22.4
5,10,25.6
5,10,28.8
10,10,0
10,10,3.2
10,10,6.4
10,10,9.6
10,10,12.8
10,10,16
10,10,19.2
10,10,22.4
10,10,25.6
10,10,28.8
15,10,0
15,10,3.2
15,10,6.4
15,10,9.6
15,10,12.8
15,10,16
15,10,19.2
15,10,22.4
15,10,25.6
15,10,28.8
20,10,0
20,10,3.2
20,10,6.4
20,10,9.6
20,10,12.8
20,10,16
20,10,19.2
20,10,22.4
20,10,25.6
20,10,28.8
25,10,0
25,10,3.2
25,10,6.4
25,10,9.6
25,10,12.8
25,10,16
25,10,19.2
25,10,22.4
25,10,25.6
25,10,28.8
30,10,0
30,10,3.2
30,10,6.4
30,10,9.6
30,10,12.8
30,10,16
30,10,19.2
30,10,22.4
30,10,25.6
30,10,28.8
35,10,0
35,10,3.2
35,10,6.4
35,10,9.6
35,10,12.8
35,10,16
35,10,19.2
35,10,22.4
35,10,25.6
35,10,28.8
40,10,0
40,10,3.2
40,10,6.4
40,10,9.6
40,10,12.8
40,10,16
40,10,19.2
40,10,22.4
40,10,25.6
40,10,28.8
45,10,0
45,10,3.2
45,10,6.4
45,10,9.6
45,10,12.8
45,10,16
45,10,19.2
45,10,22.4
45,10,25.6
45,10,28.8
50,10,0
50,10,3.2
50,10,6.4
50,10,9.6
50,10,12.8
50,10,16
50,10,19.2
50,10,22.4
50,10,25.6
50,10,28.8
55,10,0
55,10,3.2
55,10,6.4
55,10,9.6
55,10,12.8
55,10,16
55,10,19.2
55,10,22.4
55,10,25.6
55,10,28.8
58,10,0
58,10,3.2
58,10,6.4
58,10,9.6
58,10,12.8
58,10,16
58,10,19.2
58,10,22.4
58,10,25.6
58,10,28.8
0,15,0
0,15,3.2
0,15,6.4
0,15,9.6
0,15,12.8
0,15,16
0,15,19.2
0,15,22.4
0,15,25.6
0,15,28.8
5,15,0
5,15,3.2
5,15,6.4
5,15,9.6
5,15,12.8
5,15,16
5,15,19.2
5,15,22.4
5,15,25.6
5,15,28.8
10,15,0
10,15,3.2
10,15,6.4
10,15,9.6
10,15,12.8
10,15,16
10,15,19.2
10,15,22.4
10,15,25.6
10,15,28.8
15,15,0
15,15,3.2
15,15,6.4
15,15,9.6
15,15,12.8
15,15,16
15,15,19.2
15,15,22.4
15,15,25.6
15,15,28.8
20,15,0
20,15,3.2
20,15,6.4
20,15,9.6
20,15,12.8
20,15,16
20,15,19.2
20,15,22.4
20,15,25.6
20,15,28.8
25,15,0
25,15,3.2
25,15,6.4
25,15,9.6
25,15,12.8
25,15,16
25,15,19.2
25,15,22.4
25,15,25.6
25,15,28.8
30,15,0
30,15,3.2
30,15,6.4
30,15,9.6
30,15,12.8
30,15,16
30,15,19.2
30,15,22.4
30,15,25.6
30,15,28.8
35,15,0
35,15,3.2
35,15,6.4
35,15,9.6
35,15,12.8
35,15,16
35,15,19.2
35,15,22.4
35,15,25.6
35,15,28.8
40,15,0
40,15,3.2
40,15,6.4
40,15,9.6
40,15,12.8
40,15,16
40,15,19.2
40,15,22.4
40,15,25.6
40,15,28.8
45,15,0
45,15,3.2
45,15,6.4
45,15,9.6
45,15,12.8
45,15,16
45,15,19.2
45,15,22.4
45,15,25.6
45,15,28.8
50,15,0
50,15,3.2
50,15,6.4
50,15,9.6
50,15,12.8
50,15,16
50,15,19.2
50,15,22.4
50,15,25.6
50,15,28.8
55,15,0
55,15,3.2
55,15,6.4
55,15,9.6
55,15,12.8
55,15,16
55,15,19.2
55,15,22.4
55,15,25.6
55,15,28.8
58,15,0
58,15,3.2
58,15,6.4
58,15,9.6
58,15,12.8
58,15,16
58,15,19.2
58,15,22.4
58,15,25.6
58,15,28.8
0,20,0
0,20,3.2
0,20,6.4
0,20,9.6
0,20,12.8
0,20,16
0,20,19.2
0,20,22.4
0,20,25.6
0,20,28.8
5,20,0
5,20,3.2
5,20,6.4
5,20,9.6
5,20,12.8
5,20,16
5,20,19.2
5,20,22.4
5,20,25.6
5,20,28.8
10,20,0
10,20,3.2
10,20,6.4
10,20,9.6
10,20,12.8
10,20,16
10,20,19.2
10,20,22.4
10,20,25.6
10,20,28.8
15,20,0
15,20,3.2
15,20,6.4
15,20,9.6
15,20,12.8
15,20,16
15,20,19.2
15,20,22.4
15,20,25.6
15,20,28.8
20,20,0
20,20,3.2
20,20,6.4
20,20,9.6
20,20,12.8
20,20,16
20,20,19.2
20,20,22.4
20,20,25.6
20,20,28.8
25,20,0
25,20,3.2
25,20,6.4
25,20,9.6
25,20,12.8
25,20,16
25,20,19.2
25,20,22.4
25,20,25.6
25,20,28.8
30,20,0
30,20,3.2
30,20,6.4
30,20,9.6
30,20,12.8
30,20,16
30,20,19.2
30,20,22.4
30,20,25.6
30,20,28.8
35,20,0
35,20,3.2
35,20,6.4
35,20,9.6
35,20,12.8
35,20,16
35,20,19.2
35,20,22.4
35,20,25.6
35,20,28.8
40,20,0
40,20,3.2
40,20,6.4
40,20,9.6
40,20,12.8
40,20,16
40,20,19.2
40,20,22.4
40,20,25.6
40,20,28.8
45,20,0
45,20,3.2
45,20,6.4
45,20,9.6
45,20,12.8
45,20,16
45,20,19.2
45,20,22.4
45,20,25.6
45,20,28.8
50,20,0
50,20,3.2
50,20,6.4
50,20,9.6
50,20,12.8
50,20,16
50,20,19.2
50,20,22.4
50,20,25.6
50,20,28.8
55,20,0
55,20,3.2
55,20,6.4
55,20,9.6
55,20,12.8
55,20,16
55,20,19.2
55,20,22.4
55,20,25.6
55,20,28.8
58,20,0
58,20,3.2
58,20,6.4
58,20,9.6
58,20,12.8
58,20,16
58,20,19.2
58,20,22.4
58,20,25.6
58,20,28.8
0,25,0
0,25,3.2
0,25,6.4
0,25,9.6
0,25,12.8
0,25,16
0,25,19.2
0,25,22.4
0,25,25.6
0,25,28.8
5,25,0
5,25,3.2
5,25,6.4
5,25,9.6
5,25,12.8
5,25,16
5,25,19.2
5,25,22.4
5,25,25.6
5,25,28.8
10,25,0
10,25,3.2
10,25,6.4
10,25,9.6
10,25,12.8
10,25,16
10,25,19.2
10,25,22.4
10,25,25.6
10,25,28.8
15,25,0
15,25,3.2
15,25,6.4
15,25,9.6
15,25,12.8
15,25,16
15,25,19.2
15,25,22.4
15,25,25.6
15,25,28.8
20,25,0
20,25,3.2
20,25,6.4
20,25,9.6
20,25,12.8
20,25,16
20,25,19.2
20,25,22.4
20,25,25.6
20,25,28.8
25,25,0
25,25,3.2
25,25,6.4
25,25,9.6
25,25,12.8
25,25,16
25,25,19.2
25,25,22.4
25,25,25.6
25,25,28.8
30,25,0
30,25,3.2
30,25,6.4
30,25,9.6
30,25,12.8
30,25,16
30,25,19.2
30,25,22.4
30,25,25.6
30,25,28.8
35,25,0
35,25,3.2
35,25,6.4
35,25,9.6
35,25,12.8
35,25,16
35,25,19.2
35,25,22.4
35,25,25.6
35,25,28.8
40,25,0
40,25,3.2
40,25,6.4
40,25,9.6
40,25,12.8
40,25,16
40,25,19.2
40,25,22.4
40,25,25.6
40,25,28.8
45,25,0
45,25,3.2
45,25,6.4
45,25,9.6
45,25,12.8
45,25,16
45,25,19.2
45,25,22.4
45,25,25.6
45,25,28.8
50,25,0
50,25,3.2
50,25,6.4
50,25,9.6
50,25,12.8
50,25,16
50,25,19.2
50,25,22.4
50,25,25.6
50,25,28.8
55,25,0
55,25,3.2
55,25,6.4
55,25,9.6
55,25,12.8
55,25,16
55,25,19.2
55,25,22.4
55,25,25.6
55,25,28.8
58,25,0
58,25,3.2
58,25,6.4
58,25,9.6
58,25,12.8
58,25,16
58,25,19.2
58,25,22.4
58,25,25.6
58,25,28.8
0,30,0
0,30,3.2
0,30,6.4
0,30,9.6
0,30,12.8
0,30,16
0,30,19.2
0,30,22.4
0,30,25.6
0,30,28.8
5,30,0
5,30,3.2
5,30,6.4
5,30,9.6
5,30,12.8
5,30,16
5,30,19.2
5,30,22.4
5,30,25.6
5,30,28.8
10,30,0
10,30,3.2
10,30,6.4
10,30,9.6
10,30,12.8
10,30,16
10,30,19.2
10,30,22.4
10,30,25.6
10,30,28.8
15,30,0
15,30,3.2
15,30,6.4
15,30,9.6
15,30,12.8
15,30,16
15,30,19.2
15,30,22.4
15,30,25.6
15,30,28.8
20,30,0
20,30,3.2
20,30,6.4
20,30,9.6
20,30,12.8
20,30,16
20,30,19.2
20,30,22.4
20,30,25.6
20,30,28.8
25,30,0
25,30,3.2
25,30,6.4
25,30,9.6
25,30,12.8
25,30,16
25,30,19.2
25,30,22.4
25,30,25.6
25,30,28.8
30,30,0
30,30,3.2
30,30,6.4
30,30,9.6
30,30,12.8
30,30,16
30,30,19.2
30,30,22.4
30,30,25.6
30,30,28.8
35,30,0
35,30,3.2
35,30,6.4
35,30,9.6
35,30,12.8
35,30,16
35,30,19.2
35,30,22.4
35,30,25.6
35,30,28.8
40,30,0
40,30,3.2
40,30,6.4
40,30,9.6
40,30,12.8
40,30,16
40,30,19.2
40,30,22.4
40,30,25.6
40,30,28.8
45,30,0
45,30,3.2
45,30,6.4
45,30,9.6
45,30,12.8
45,30,16
45,30,19.2
45,30,22.4
45,30,25.6
45,30,28.8
50,30,0
50,30,3.2
50,30,6.4
50,30,9.6
50,30,12.8
50,30,16
50,30,19.2
50,30,22.4
50,30,25.6
50,30,28.8
55,30,0
55,30,3.2
55,30,6.4
55,30,9.6
55,30,12.8
55,30,16
55,30,19.2
55,30,22.4
55,30,25.6
55,30,28.8
58,30,0
58,30,3.2
58,30,6.4
58,30,9.6
58,30,12.8
58,30,16
58,30,19.2
58,30,22.4
58,30,25.6
58,30,28.8
0,35,0
0,35,3.2
0,35,6.4
0,35,9.6
0,35,12.8
0,35,16
0,35,19.2
0,35,22.4
0,35,25.6
0,35,28.8
5,35,0
5,35,3.2
5,35,6.4
5,35,9.6
5,35,12.8
5,35,16
5,35,19.2
5,35,22.4
5,35,25.6
5,35,28.8
10,35,0
10,35,3.2
10,35,6.4
10,35,9.6
10,35,12.8
10,35,16
10,35,19.2
10,35,22.4
10,35,25.6
10,35,28.8
15,35,0
15,35,3.2
15,35,6.4
15,35,9.6
15,35,12.8
15,35,16
15,35,19.2
15,35,22.4
15,35,25.6
15,35,28.8
20,35,0
20,35,3.2
20,35,6.4
20,35,9.6
20,35,12.8
20,35,16
20,35,19.2
20,35,22.4
20,35,25.6
20,35,28.8
25,35,0
25,35,3.2
25,35,6.4
25,35,9.6
25,35,12.8
25,35,16
25,35,19.2
25,35,22.4
25,35,25.6
25,35,28.8
30,35,0
30,35,3.2
30,35,6.4
30,35,9.6
30,35,12.8
30,35,16
30,35,19.2
30,35,22.4
30,35,25.6
30,35,28.8
35,35,0
35,35,3.2
35,35,6.4
35,35,9.6
35,35,12.8
35,35,16
35,35,19.2
35,35,22.4
35,35,25.6
35,35,28.8
40,35,0
40,35,3.2
40,35,6.4
40,35,9.6
40,35,12.8
40,35,16
40,35,19.2
40,35,22.4
40,35,25.6
40,35,28.8
45,35,0
45,35,3.2
45,35,6.4
45,35,9.6
45,35,12.8
45,35,16
45,35,19.2
45,35,22.4
45,35,25.6
45,35,28.8
50,35,0
50,35,3.2
50,35,6.4
50,35,9.6
50,35,12.8
50,35,16
50,35,19.2
50,35,22.4
50,35,25.6
50,35,28.8
55,35,0
55,35,3.2
55,35,6.4
55,35,9.6
55,35,12.8
55,35,16
55,35,19.2
55,35,22.4
55,35,25.6
55,35,28.8
58,35,0
58,35,3.2
58,35,6.4
58,35,9.6
58,35,12.8
58,35,16
58,35,19.2
58,35,22.4
58,35,25.6
58,35,28.8
0,40,0
0,40,3.2
0,40,6.4
0,40,9.6
0,40,12.8
0,40,16
0,40,19.2
0,40,22.4
0,40,25.6
0,40,28.8
5,40,0
5,40,3.2
5,40,6.4
5,40,9.6
5,40,12.8
5,40,16
5,40,19.2
5,40,22.4
5,40,25.6
5,40,28.8
10,40,0
10,40,3.2
10,40,6.4
10,40,9.6
10,40,12.8
10,40,16
10,40,19.2
10,40,22.4
10,40,25.6
10,40,28.8
15,40,0
15,40,3.2
15,40,6.4
15,40,9.6
15,40,12.8
15,40,16
15,40,19.2
15,40,22.4
15,40,25.6
15,40,28.8
20,40,0
20,40,3.2
20,40,6.4
20,40,9.6
20,40,12.8
20,40,16
20,40,19.2
20,40,22.4
20,40,25.6
20,40,28.8
25,40,0
25,40,3.2
25,40,6.4
25,40,9.6
25,40,12.8
25,40,16
25,40,19.2
25,40,22.4
25,40,25.6
25,40,28.8
30,40,0
30,40,3.2
30,40,6.4
30,40,9.6
30,40,12.8
30,40,16
30,40,19.2
30,40,22.4
30,40,25.6
30,40,28.8
35,40,0
35,40,3.2
35,40,6.4
35,40,9.6
35,40,12.8
35,40,16
35,40,19.2
35,40,22.4
35,40,25.6
35,40,28.8
40,40,0
40,40,3.2
40,40,6.4
40,40,9.6
40,40,12.8
40,40,16
40,40,19.2
40,40,22.4
40,40,25.6
40,40,28.8
45,40,0
45,40,3.2
45,40,6.4
45,40,9.6
45,40,12.8
45,40,16
45,40,19.2
45,40,22.4
45,40,25.6
45,40,28.8
50,40,0
50,40,3.2
50,40,6.4
50,40,9.6
50,40,12.8
50,40,16
50,40,19.2
50,40,22.4
50,40,25.6
50,40,28.8
55,40,0
55,40,3.2
55,40,6.4
55,40,9.6
55,40,12.8
55,40,16
55,40,19.2
55,40,22.4
55,40,25.6
55,40,28.8
58,40,0
58,40,3.2
58,40,6.4
58,40,9.6
58,40,12.8
58,40,16
58,40,19.2
58,40,22.4
58,40,25.6
58,40,28.8
0,45,0
0,45,3.2
0,45,6.4
0,45,9.6
0,45,12.8
0,45,16
0,45,19.2
0,45,22.4
0,45,25.6
0,45,28.8
5,45,0
5,45,3.2
5,45,6.4
5,45,9.6
5,45,12.8
5,45,16
5,45,19.2
5,45,22.4
5,45,25.6
5,45,28.8
10,45,0
10,45,3.2
10,45,6.4
10,45,9.6
10,45,12.8
10,45,16
10,45,19.2
10,45,22.4
10,45,25.6
10,45,28.8
15,45,0
15,45,3.2
15,45,6.4
15,45,9.6
15,45,12.8
15,45,16
15,45,19.2
15,45,22.4
15,45,25.6
15,45,28.8
20,45,0
20,45,3.2
20,45,6.4
20,45,9.6
20,45,12.8
20,45,16
20,45,19.2
20,45,22.4
20,45,25.6
20,45,28.8
25,45,0
25,45,3.2
25,45,6.4
25,45,9.6
25,45,12.8
25,45,16
25,45,19.2
25,45,22.4
25,45,25.6
25,45,28.8
30,45,0
30,45,3.2
30,45,6.4
30,45,9.6
30,45,12.8
30,45,16
30,45,19.2
30,45,22.4
30,45,25.6
30,45,28.8
35,45,0
35,45,3.2
35,45,6.4
35,45,9.6
35,45,12.8
35,45,16
35,45,19.2
35,45,22.4
35,45,25.6
35,45,28.8
40,45,0
40,45,3.2
40,45,6.4
40,45,9.6
40,45,12.8
40,45,16
40,45,19.2
40,45,22.4
40,45,25.6
40,45,28.8
45,45,0
45,45,3.2
45,45,6.4
45,45,9.6
45,45,12.8
45,45,16
45,45,19.2
45,45,22.4
45,45,25.6
45,45,28.8
50,45,0
50,45,3.2
50,45,6.4
50,45,9.6
50,45,12.8
50,45,16
50,45,19.2
50,45,22.4
50,45,25.6
50,45,28.8
55,45,0
55,45,3.2
55,45,6.4
55,45,9.6
55,45,12.8
55,45,16
55,45,19.2
55,45,22.4
55,45,25.6
55,45,28.8
58,45,0
58,45,3.2
58,45,6.4
58,45,9.6
58,45,12.8
58,45,16
58,45,19.2
58,45,22.4
58,45,25.6
58,45,28.8
0,50,0
0,50,3.2
0,50,6.4
0,50,9.6
0,50,12.8
0,50,16
0,50,19.2
0,50,22.4
0,50,25.6
0,50,28.8
5,50,0
5,50,3.2
5,50,6.4
5,50,9.6
5,50,12.8
5,50,16
5,50,19.2
5,50,22.4
5,50,25.6
5,50,28.8
10,50,0
10,50,3.2
10,50,6.4
10,50,9.6
10,50,12.8
10,50,16
10,50,19.2
10,50,22.4
10,50,25.6
10,50,28.8
15,50,0
15,50,3.2
15,50,6.4
15,50,9.6
15,50,12.8
15,50,16
15,50,19.2
15,50,22.4
15,50,25.6
15,50,28.8
20,50,0
20,50,3.2
20,50,6.4
20,50,9.6
20,50,12.8
20,50,16
20,50,19.2
20,50,22.4
20,50,25.6
20,50,28.8
25,50,0
25,50,3.2
25,50,6.4
25,50,9.6
25,50,12.8
25,50,16
25,50,19.2
25,50,22.4
25,50,25.6
25,50,28.8
30,50,0
30,50,3.2
30,50,6.4
30,50,9.6
30,50,12.8
30,50,16
30,50,19.2
30,50,22.4
30,50,25.6
30,50,28.8
35,50,0
35,50,3.2
35,50,6.4
35,50,9.6
35,50,12.8
35,50,16
35,50,19.2
35,50,22.4
35,50,25.6
35,50,28.8
40,50,0
40,50,3.2
40,50,6.4
40,50,9.6
40,50,12.8
40,50,16
40,50,19.2
40,50,22.4
40,50,25.6
40,50,28.8
45,50,0
45,50,3.2
45,50,6.4
45,50,9.6
45,50,12.8
45,50,16
45,50,19.2
45,50,22.4
45,50,25.6
45,50,28.8
50,50,0
50,50,3.2
50,50,6.4
50,50,9.6
50,50,12.8
50,50,16
50,50,19.2
50,50,22.4
50,50,25.6
50,50,28.8
55,50,0
55,50,3.2
55,50,6.4
55,50,9.6
55,50,12.8
55,50,16
55,50,19.2
55,50,22.4
55,50,25.6
55,50,28.8
58,50,0
58,50,3.2
58,50,6.4
58,50,9.6
58,50,12.8
58,50,16
58,50,19.2
58,50,22.4
58,50,25.6
58,50,28.8