cross_section,longitudinal,Time (hh:mm:ss)
0,-5,
5,-5,
10,-5,
15,-5,
20,-5,
25,-5,
30,-5,
35,-5,
40,-5,
45,-5,
50,-5,
55,-5,
58,-5,
0,0,
5,0,
10,0,
15,0,
20,0,
25,0,
30,0,
35,0,
40,0,
45,0,
50,0,
55,0,
58,0,
0,5,
5,5,
10,5,
15,5,
20,5,
25,5,
30,5,
35,5,
40,5,
45,5,
50,5,
55,5,
58,5,
0,10,
5,10,
10,10,
15,10,
20,10,
25,10,
30,10,
35,10,
40,10,
45,10,
50,10,
55,10,
58,10,
0,15,
5,15,
10,15,
15,15,
20,15,
25,15,
30,15,
35,15,
40,15,
45,15,
50,15,
55,15,
58,15,
0,20,
5,20,
10,20,
15,20,
20,20,
25,20,
30,20,
35,20,
40,20,
45,20,
50,20,
55,20,
58,20,
0,25,
5,25,
10,25,
15,25,
20,25,
25,25,
30,25,
35,25,
40,25,
45,25,
50,25,
55,25,
58,25,
0,30,
5,30,
10,30,
15,30,
20,30,
25,30,
30,30,
35,30,
40,30,
45,30,
50,30,
55,30,
58,30,
0,35,
5,35,
10,35,
15,35,
20,35,
25,35,
30,35,
35,35,
40,35,
45,35,
50,35,
55,35,
58,35,
0,40,
5,40,
10,40,
15,40,
20,40,
25,40,
30,40,
35,40,
40,40,
45,40,
50,40,
55,40,
58,40,
0,45,
5,45,
10,45,
15,45,
20,45,
25,45,
30,45,
35,45,
40,45,
45,45,
50,45,
55,45,
58,45,
0,50,
5,50,
10,50,
15,50,
20,50,
25,50,
30,50,
35,50,
40,50,
45,50,
50,50,
55,50,
58,50,