Place,Date,Time,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit
2136,3/10/26,12:15:57,24.8,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.8,T6TTemp C,24.6,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2137,3/10/26,12:15:58,24.8,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.8,T6TTemp C,24.6,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2138,3/10/26,12:15:59,24.8,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2139,3/10/26,12:16:00,24.8,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2140,3/10/26,12:16:01,24.8,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2141,3/10/26,12:16:02,24.8,T1TTemp C,24.8,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2142,3/10/26,12:16:03,24.8,T1TTemp C,24.8,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2143,3/10/26,12:16:04,24.8,T1TTemp C,24.8,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2144,3/10/26,12:16:05,24.8,T1TTemp C,24.8,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2145,3/10/26,12:16:06,24.8,T1TTemp C,24.8,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2146,3/10/26,12:16:07,24.8,T1TTemp C,24.8,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2147,3/10/26,12:16:08,24.8,T1TTemp C,24.8,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2148,3/10/26,12:16:09,24.8,T1TTemp C,24.8,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
Place,Date,Time,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit
2149,3/10/26,12:16:25,24.6,T1TTemp C,24.6,T2TTemp C,24.6,T3TTemp C,24.8,T4TTemp C,24.7,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2150,3/10/26,12:16:26,24.6,T1TTemp C,24.6,T2TTemp C,24.6,T3TTemp C,24.8,T4TTemp C,24.7,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2151,3/10/26,12:16:27,24.6,T1TTemp C,24.6,T2TTemp C,24.6,T3TTemp C,24.8,T4TTemp C,24.7,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2152,3/10/26,12:16:28,24.6,T1TTemp C,24.6,T2TTemp C,24.5,T3TTemp C,24.8,T4TTemp C,24.7,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2153,3/10/26,12:16:29,24.6,T1TTemp C,24.6,T2TTemp C,24.5,T3TTemp C,24.8,T4TTemp C,24.7,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2154,3/10/26,12:16:30,24.6,T1TTemp C,24.6,T2TTemp C,24.5,T3TTemp C,24.8,T4TTemp C,24.7,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2155,3/10/26,12:16:31,24.7,T1TTemp C,24.6,T2TTemp C,24.5,T3TTemp C,24.8,T4TTemp C,24.7,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2156,3/10/26,12:16:32,24.7,T1TTemp C,24.6,T2TTemp C,24.5,T3TTemp C,24.8,T4TTemp C,24.7,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2157,3/10/26,12:16:33,24.6,T1TTemp C,24.5,T2TTemp C,24.4,T3TTemp C,24.8,T4TTemp C,24.7,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2158,3/10/26,12:16:34,24.6,T1TTemp C,24.5,T2TTemp C,24.4,T3TTemp C,24.8,T4TTemp C,24.7,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2159,3/10/26,12:16:35,24.6,T1TTemp C,24.5,T2TTemp C,24.4,T3TTemp C,24.8,T4TTemp C,24.7,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2160,3/10/26,12:16:36,24.6,T1TTemp C,24.5,T2TTemp C,24.4,T3TTemp C,24.8,T4TTemp C,24.7,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2161,3/10/26,12:16:37,24.6,T1TTemp C,24.5,T2TTemp C,24.4,T3TTemp C,24.8,T4TTemp C,24.7,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2162,3/10/26,12:16:38,24.6,T1TTemp C,24.5,T2TTemp C,24.4,T3TTemp C,24.8,T4TTemp C,24.7,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2163,3/10/26,12:16:39,24.6,T1TTemp C,24.5,T2TTemp C,24.4,T3TTemp C,24.8,T4TTemp C,24.7,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2164,3/10/26,12:16:40,24.5,T1TTemp C,24.5,T2TTemp C,24.4,T3TTemp C,24.8,T4TTemp C,24.7,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2165,3/10/26,12:16:41,24.5,T1TTemp C,24.5,T2TTemp C,24.4,T3TTemp C,24.8,T4TTemp C,24.7,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2166,3/10/26,12:16:42,24.5,T1TTemp C,24.5,T2TTemp C,24.4,T3TTemp C,24.8,T4TTemp C,24.7,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2167,3/10/26,12:16:43,24.5,T1TTemp C,24.5,T2TTemp C,24.4,T3TTemp C,24.8,T4TTemp C,24.7,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2168,3/10/26,12:16:44,24.5,T1TTemp C,24.5,T2TTemp C,24.4,T3TTemp C,24.8,T4TTemp C,24.7,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2169,3/10/26,12:16:45,24.5,T1TTemp C,24.4,T2TTemp C,24.4,T3TTemp C,24.8,T4TTemp C,24.7,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2170,3/10/26,12:16:46,24.5,T1TTemp C,24.4,T2TTemp C,24.3,T3TTemp C,24.8,T4TTemp C,24.7,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2171,3/10/26,12:16:47,24.5,T1TTemp C,24.4,T2TTemp C,24.3,T3TTemp C,24.8,T4TTemp C,24.7,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2172,3/10/26,12:16:48,24.5,T1TTemp C,24.4,T2TTemp C,24.3,T3TTemp C,24.8,T4TTemp C,24.7,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2173,3/10/26,12:16:49,24.5,T1TTemp C,24.3,T2TTemp C,24.3,T3TTemp C,24.8,T4TTemp C,24.7,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2174,3/10/26,12:16:50,24.4,T1TTemp C,24.3,T2TTemp C,24.3,T3TTemp C,24.8,T4TTemp C,24.7,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2175,3/10/26,12:16:51,24.4,T1TTemp C,24.3,T2TTemp C,24.3,T3TTemp C,24.8,T4TTemp C,24.7,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2176,3/10/26,12:16:52,24.4,T1TTemp C,24.3,T2TTemp C,24.3,T3TTemp C,24.8,T4TTemp C,24.7,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2177,3/10/26,12:16:53,24.4,T1TTemp C,24.3,T2TTemp C,24.3,T3TTemp C,24.8,T4TTemp C,24.7,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2178,3/10/26,12:16:54,24.3,T1TTemp C,24.4,T2TTemp C,24.4,T3TTemp C,24.8,T4TTemp C,24.7,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
Place,Date,Time,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit
2179,3/10/26,12:17:11,23.2,T1TTemp C,22.5,T2TTemp C,23.9,T3TTemp C,24.6,T4TTemp C,24.7,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.3,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2180,3/10/26,12:17:12,23.2,T1TTemp C,22.5,T2TTemp C,23.8,T3TTemp C,24.6,T4TTemp C,24.7,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.3,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2181,3/10/26,12:17:13,22.4,T1TTemp C,22.5,T2TTemp C,23.8,T3TTemp C,24.6,T4TTemp C,24.7,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.3,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2182,3/10/26,12:17:14,22.4,T1TTemp C,22.5,T2TTemp C,23.6,T3TTemp C,24.5,T4TTemp C,24.7,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.3,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2183,3/10/26,12:17:15,22.4,T1TTemp C,22.5,T2TTemp C,23.6,T3TTemp C,24.5,T4TTemp C,24.6,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.3,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2184,3/10/26,12:17:16,22.4,T1TTemp C,22.5,T2TTemp C,23.3,T3TTemp C,24.4,T4TTemp C,24.6,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.3,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2185,3/10/26,12:17:17,22.4,T1TTemp C,22.4,T2TTemp C,23.2,T3TTemp C,24.4,T4TTemp C,24.6,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.3,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2186,3/10/26,12:17:18,22.4,T1TTemp C,22.4,T2TTemp C,23.2,T3TTemp C,24.4,T4TTemp C,24.6,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.3,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2187,3/10/26,12:17:19,22.4,T1TTemp C,22.3,T2TTemp C,23,T3TTemp C,24.4,T4TTemp C,24.7,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.3,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2188,3/10/26,12:17:20,22.3,T1TTemp C,22.3,T2TTemp C,23,T3TTemp C,24.4,T4TTemp C,24.7,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.3,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2189,3/10/26,12:17:21,22.3,T1TTemp C,22.1,T2TTemp C,22.9,T3TTemp C,24.4,T4TTemp C,24.7,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.3,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2190,3/10/26,12:17:22,22.3,T1TTemp C,22,T2TTemp C,22.9,T3TTemp C,24.4,T4TTemp C,24.7,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.3,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2191,3/10/26,12:17:23,22.3,T1TTemp C,22,T2TTemp C,22.8,T3TTemp C,24.4,T4TTemp C,24.7,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.3,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2192,3/10/26,12:17:24,22.1,T1TTemp C,21.9,T2TTemp C,22.8,T3TTemp C,24.4,T4TTemp C,24.7,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.3,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2193,3/10/26,12:17:25,22.1,T1TTemp C,21.9,T2TTemp C,22.8,T3TTemp C,24.5,T4TTemp C,24.7,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.3,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2194,3/10/26,12:17:26,22.1,T1TTemp C,21.7,T2TTemp C,22.8,T3TTemp C,24.5,T4TTemp C,24.7,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.3,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2195,3/10/26,12:17:27,21.9,T1TTemp C,21.7,T2TTemp C,22.8,T3TTemp C,24.5,T4TTemp C,24.7,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.3,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2196,3/10/26,12:17:28,21.9,T1TTemp C,21.9,T2TTemp C,22.9,T3TTemp C,24.4,T4TTemp C,24.7,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.3,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2197,3/10/26,12:17:29,21.9,T1TTemp C,21.9,T2TTemp C,22.9,T3TTemp C,24.4,T4TTemp C,24.6,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.3,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2198,3/10/26,12:17:30,21.9,T1TTemp C,21.9,T2TTemp C,23.1,T3TTemp C,24.4,T4TTemp C,24.6,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.3,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2199,3/10/26,12:17:31,20.5,T1TTemp C,21.9,T2TTemp C,23.2,T3TTemp C,24.4,T4TTemp C,24.6,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.3,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2200,3/10/26,12:17:32,20.5,T1TTemp C,21.9,T2TTemp C,23.2,T3TTemp C,24.4,T4TTemp C,24.6,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.3,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2201,3/10/26,12:17:33,20.5,T1TTemp C,21.9,T2TTemp C,23.3,T3TTemp C,24.5,T4TTemp C,24.6,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.3,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2202,3/10/26,12:17:34,20.5,T1TTemp C,21.9,T2TTemp C,23.3,T3TTemp C,24.5,T4TTemp C,24.6,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.3,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2203,3/10/26,12:17:35,20.5,T1TTemp C,21.2,T2TTemp C,23.2,T3TTemp C,24.5,T4TTemp C,24.6,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.3,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2204,3/10/26,12:17:36,20.5,T1TTemp C,21.2,T2TTemp C,23.2,T3TTemp C,24.5,T4TTemp C,24.7,T5TTemp C,24.9,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.3,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2205,3/10/26,12:17:37,20.5,T1TTemp C,21.2,T2TTemp C,23.1,T3TTemp C,24.5,T4TTemp C,24.7,T5TTemp C,24.9,T6TTemp C,24.6,T7TTemp C,24.7,T8TTemp C,24.4,T9TTemp C,24.6,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2206,3/10/26,12:17:38,20.5,T1TTemp C,21.2,T2TTemp C,23,T3TTemp C,24.5,T4TTemp C,24.7,T5TTemp C,24.9,T6TTemp C,24.6,T7TTemp C,24.7,T8TTemp C,24.4,T9TTemp C,24.6,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2207,3/10/26,12:17:39,20.5,T1TTemp C,21.2,T2TTemp C,23,T3TTemp C,24.4,T4TTemp C,24.7,T5TTemp C,24.9,T6TTemp C,24.6,T7TTemp C,24.7,T8TTemp C,24.4,T9TTemp C,24.6,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
Place,Date,Time,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit
2208,3/10/26,12:18:10,19.4,T1TTemp C,20,T2TTemp C,22,T3TTemp C,24.1,T4TTemp C,24.6,T5TTemp C,24.9,T6TTemp C,24.5,T7TTemp C,24.7,T8TTemp C,24.4,T9TTemp C,24.6,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2209,3/10/26,12:18:11,19.4,T1TTemp C,20,T2TTemp C,22.1,T3TTemp C,24.1,T4TTemp C,24.6,T5TTemp C,24.9,T6TTemp C,24.5,T7TTemp C,24.7,T8TTemp C,24.4,T9TTemp C,24.6,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2210,3/10/26,12:18:12,19.4,T1TTemp C,20,T2TTemp C,22.1,T3TTemp C,24.2,T4TTemp C,24.6,T5TTemp C,24.9,T6TTemp C,24.5,T7TTemp C,24.7,T8TTemp C,24.4,T9TTemp C,24.6,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2211,3/10/26,12:18:13,19.3,T1TTemp C,20,T2TTemp C,22.1,T3TTemp C,24.2,T4TTemp C,24.6,T5TTemp C,24.9,T6TTemp C,24.5,T7TTemp C,24.7,T8TTemp C,24.4,T9TTemp C,24.6,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2212,3/10/26,12:18:14,19.3,T1TTemp C,20,T2TTemp C,22.1,T3TTemp C,24.2,T4TTemp C,24.6,T5TTemp C,24.9,T6TTemp C,24.5,T7TTemp C,24.7,T8TTemp C,24.4,T9TTemp C,24.6,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
