Date,Time,y,x,z,Temperature,Unit
2/17/25,11:18:47,0,0,0,25.4,T1TTemp C
2/17/25,11:19:17,5,0,0,25.3,T1TTemp C
2/17/25,11:19:47,10,0,0,22.2,T1TTemp C
2/17/25,11:20:17,15,0,0,20.5,T1TTemp C
2/17/25,11:20:47,20,0,0,15,T1TTemp C
2/17/25,11:21:17,25,0,0,17.5,T1TTemp C
2/17/25,11:21:47,30,0,0,20.2,T1TTemp C
2/17/25,11:22:17,35,0,0,21.4,T1TTemp C
2/17/25,11:22:47,40,0,0,22,T1TTemp C
2/17/25,11:23:17,45,0,0,21,T1TTemp C
2/17/25,11:23:47,50,0,0,23.6,T1TTemp C
2/17/25,11:24:47,58,0,0,24.3,T1TTemp C
2/17/25,11:18:47,0,0,3,25.8,T2TTemp C
2/17/25,11:19:17,5,0,3,25.7,T2TTemp C
2/17/25,11:19:47,10,0,3,23.4,T2TTemp C
2/17/25,11:20:17,15,0,3,22.1,T2TTemp C
2/17/25,11:20:47,20,0,3,21.6,T2TTemp C
2/17/25,11:21:17,25,0,3,22.4,T2TTemp C
2/17/25,11:21:47,30,0,3,23.2,T2TTemp C
2/17/25,11:22:17,35,0,3,23.5,T2TTemp C
2/17/25,11:22:47,40,0,3,23.9,T2TTemp C
2/17/25,11:23:17,45,0,3,22.7,T2TTemp C
2/17/25,11:23:47,50,0,3,23.8,T2TTemp C
2/17/25,11:24:47,58,0,3,24.8,T2TTemp C
2/17/25,11:18:47,0,0,6,25.7,T3TTemp C
2/17/25,11:19:17,5,0,6,25.7,T3TTemp C
2/17/25,11:19:47,10,0,6,24.1,T3TTemp C
2/17/25,11:20:17,15,0,6,23.9,T3TTemp C
2/17/25,11:20:47,20,0,6,22.6,T3TTemp C
2/17/25,11:21:17,25,0,6,24.3,T3TTemp C
2/17/25,11:21:47,30,0,6,25.2,T3TTemp C
2/17/25,11:22:17,35,0,6,25.3,T3TTemp C
2/17/25,11:22:47,40,0,6,25.3,T3TTemp C
2/17/25,11:23:17,45,0,6,25.1,T3TTemp C
2/17/25,11:23:47,50,0,6,25.1,T3TTemp C
2/17/25,11:24:47,58,0,6,25.2,T3TTemp C
2/17/25,11:18:47,0,0,9,25.9,T4TTemp C
2/17/25,11:19:17,5,0,9,26,T4TTemp C
2/17/25,11:19:47,10,0,9,25.5,T4TTemp C
2/17/25,11:20:17,15,0,9,25.1,T4TTemp C
2/17/25,11:20:47,20,0,9,25.6,T4TTemp C
2/17/25,11:21:17,25,0,9,25.3,T4TTemp C
2/17/25,11:21:47,30,0,9,25.4,T4TTemp C
2/17/25,11:22:17,35,0,9,25.3,T4TTemp C
2/17/25,11:22:47,40,0,9,25.3,T4TTemp C
2/17/25,11:23:17,45,0,9,25.3,T4TTemp C
2/17/25,11:23:47,50,0,9,25.2,T4TTemp C
2/17/25,11:24:47,58,0,9,25.1,T4TTemp C
2/17/25,11:18:47,0,0,12,25.7,T5TTemp C
2/17/25,11:19:17,5,0,12,25.8,T5TTemp C
2/17/25,11:19:47,10,0,12,25.7,T5TTemp C
2/17/25,11:20:17,15,0,12,25.5,T5TTemp C
2/17/25,11:20:47,20,0,12,25.5,T5TTemp C
2/17/25,11:21:17,25,0,12,25.5,T5TTemp C
2/17/25,11:21:47,30,0,12,25.5,T5TTemp C
2/17/25,11:22:17,35,0,12,25.4,T5TTemp C
2/17/25,11:22:47,40,0,12,25.4,T5TTemp C
2/17/25,11:23:17,45,0,12,25.4,T5TTemp C
2/17/25,11:23:47,50,0,12,25.4,T5TTemp C
2/17/25,11:24:47,58,0,12,25.4,T5TTemp C
2/17/25,11:18:47,0,0,15,26,T6TTemp C
2/17/25,11:19:17,5,0,15,26,T6TTemp C
2/17/25,11:19:47,10,0,15,25.8,T6TTemp C
2/17/25,11:20:17,15,0,15,25.7,T6TTemp C
2/17/25,11:20:47,20,0,15,25.6,T6TTemp C
2/17/25,11:21:17,25,0,15,25.5,T6TTemp C
2/17/25,11:21:47,30,0,15,25.5,T6TTemp C
2/17/25,11:22:17,35,0,15,25.4,T6TTemp C
2/17/25,11:22:47,40,0,15,25.3,T6TTemp C
2/17/25,11:23:17,45,0,15,25.3,T6TTemp C
2/17/25,11:23:47,50,0,15,25.3,T6TTemp C
2/17/25,11:24:47,58,0,15,25.2,T6TTemp C
2/17/25,11:18:47,0,0,18,25.4,T7TTemp C
2/17/25,11:19:17,5,0,18,25.5,T7TTemp C
2/17/25,11:19:47,10,0,18,25.5,T7TTemp C
2/17/25,11:20:17,15,0,18,25.4,T7TTemp C
2/17/25,11:20:47,20,0,18,25.3,T7TTemp C
2/17/25,11:21:17,25,0,18,25.3,T7TTemp C
2/17/25,11:21:47,30,0,18,25.3,T7TTemp C
2/17/25,11:22:17,35,0,18,25.2,T7TTemp C
2/17/25,11:22:47,40,0,18,25.1,T7TTemp C
2/17/25,11:23:17,45,0,18,25.2,T7TTemp C
2/17/25,11:23:47,50,0,18,25.2,T7TTemp C
2/17/25,11:24:47,58,0,18,25.2,T7TTemp C
2/17/25,11:18:47,0,0,21,25.7,T8TTemp C
2/17/25,11:19:17,5,0,21,25.7,T8TTemp C
2/17/25,11:19:47,10,0,21,25.6,T8TTemp C
2/17/25,11:20:17,15,0,21,25.5,T8TTemp C
2/17/25,11:20:47,20,0,21,25.4,T8TTemp C
2/17/25,11:21:17,25,0,21,25.3,T8TTemp C
2/17/25,11:21:47,30,0,21,25.3,T8TTemp C
2/17/25,11:22:17,35,0,21,25.2,T8TTemp C
2/17/25,11:22:47,40,0,21,25.1,T8TTemp C
2/17/25,11:23:17,45,0,21,25.1,T8TTemp C
2/17/25,11:23:47,50,0,21,25.1,T8TTemp C
2/17/25,11:24:47,58,0,21,25.1,T8TTemp C
2/17/25,11:18:47,0,0,24,25.3,T9TTemp C
2/17/25,11:19:17,5,0,24,25.4,T9TTemp C
2/17/25,11:19:47,10,0,24,25.3,T9TTemp C
2/17/25,11:20:17,15,0,24,25.3,T9TTemp C
2/17/25,11:20:47,20,0,24,25.2,T9TTemp C
2/17/25,11:21:17,25,0,24,25.1,T9TTemp C
2/17/25,11:21:47,30,0,24,25.1,T9TTemp C
2/17/25,11:22:17,35,0,24,25,T9TTemp C
2/17/25,11:22:47,40,0,24,25.1,T9TTemp C
2/17/25,11:23:17,45,0,24,25.1,T9TTemp C
2/17/25,11:23:47,50,0,24,25.1,T9TTemp C
2/17/25,11:24:47,58,0,24,25.1,T9TTemp C
2/17/25,11:18:47,0,0,27,25.6,T10TTemp C
2/17/25,11:19:17,5,0,27,25.5,T10TTemp C
2/17/25,11:19:47,10,0,27,25.4,T10TTemp C
2/17/25,11:20:17,15,0,27,25.4,T10TTemp C
2/17/25,11:20:47,20,0,27,25.2,T10TTemp C
2/17/25,11:21:17,25,0,27,25.1,T10TTemp C
2/17/25,11:21:47,30,0,27,25.1,T10TTemp C
2/17/25,11:22:17,35,0,27,25,T10TTemp C
2/17/25,11:22:47,40,0,27,25,T10TTemp C
2/17/25,11:23:17,45,0,27,25,T10TTemp C
2/17/25,11:23:47,50,0,27,25,T10TTemp C
2/17/25,11:24:47,58,0,27,25,T10TTemp C